item_counts,distribution,g_props,phis,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02156537314457927,0.9662597945263487,0.21221786563908643,0.05642440476190469,0.9575136992288801,43,44
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.014575494172271363,0.9790004229405285,0.21296676631955677,0.04658247619047623,0.9692485268213165,44,45
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.029349702299203348,0.9898542528457235,0.21287608437419686,0.10157474999999999,0.9352474970771678,45,46
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01960909286052813,0.97535442756693,0.2127857879604212,0.05125595238095243,0.9600915529640577,46,47
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.029442258924483027,0.9468008821988011,0.21375828261510046,0.04742525000000003,0.9706491849007962,47,48
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.015025732827988827,0.9551066503342912,0.21284211943082917,0.13340625,0.9192695298867616,48,49
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01938880653253056,0.9735818617170887,0.212314500123367,0.05202249999999997,0.9740816611985637,49,50
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020939334122195005,0.9664605048985373,0.21264486801130253,0.06024324999999997,0.9689681589256385,50,51
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.028556280683710532,0.9392600904381412,0.2137806252436714,0.09311200000000003,0.9492812430664272,51,52
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01112246840021601,0.9967394228165753,0.2131787461269394,0.00895952380952375,0.9983349757348609,52,53
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.03496170809212141,0.9180009534715837,0.2139796734463235,0.20805657142857137,0.890690312576854,53,54
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01726742017890403,0.9808514012030982,0.21371252413422434,0.06727575000000002,0.9594727643707924,54,55
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02763608546480528,0.9715698909608235,0.212538493038384,0.1313577142857143,0.9334587708956655,55,56
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.031350545774243926,0.95610328030563,0.21452989505789724,0.04327885714285712,0.9752554953468254,56,57
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.024196131861274423,0.9398709606277615,0.2142345801101615,0.058594666666666684,0.9635865175703255,57,58
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.021379744159481486,0.9601288397889259,0.21184503758424789,0.03676815476190476,0.9753159642682087,58,59
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.015881391961749095,0.9669697087051863,0.21360558100016955,0.018639499999999976,0.9825197251741993,59,60
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.012486938058341623,0.9910371169502371,0.21349006001067602,0.047258999999999995,0.9749891405621249,60,61
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020104229864993075,0.9706839769467396,0.2141822326424104,0.00688660714285716,0.9900973068019656,61,62
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.022528539391631623,0.9874714017900992,0.21311393689195365,0.07404725000000001,0.9642546312645872,62,63
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.023367159137318985,0.936985197891196,0.21328997051845827,0.08262495238095241,0.9522529240159795,63,64
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.016802985680740252,0.9646164530378288,0.21249068958771122,0.11631333333333332,0.9378994232452241,64,65
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.022788083401091147,0.9721843252742092,0.2135355967702484,0.056381249999999994,0.9657668149131229,65,66
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.028379280584775287,0.9592360672763163,0.21307179382840952,0.0583097142857143,0.9710892707824912,66,67
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.019504632214407125,0.9532214363786506,0.2135255144390923,0.12933363095238093,0.9118099839560017,67,68
