item_counts,distribution,g_props,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist a,"[0.2, 0.3, 0.5]",0.016762469531146178,0.9941871860995516,0.21302492790339933,0.003350297619047593,0.9946269994367644,27,28
1000,Dist a,"[0.2, 0.3, 0.5]",0.042617161018767606,0.9111845904502263,0.21615308652095602,0.06402149999999995,0.9543504212447683,28,29
1000,Dist a,"[0.2, 0.3, 0.5]",0.012222649459947839,0.9850087963807295,0.2132977449082617,0.011954857142857156,0.9938570926714283,29,30
1000,Dist a,"[0.2, 0.3, 0.5]",0.025331214564533123,0.9647089524387815,0.21250381497043686,0.04946125000000007,0.9658550450498983,30,31
1000,Dist a,"[0.2, 0.3, 0.5]",0.013148344906925624,0.9742971131264965,0.2128904128753893,0.014852000000000032,0.9904347709550824,31,32
1000,Dist a,"[0.2, 0.3, 0.5]",0.022451694436165546,0.9583769763369206,0.21295124601875226,0.030086500000000016,0.9758681942772596,32,33
1000,Dist a,"[0.2, 0.3, 0.5]",0.03479955044528385,0.9564327963303187,0.2145065988123551,0.01738974999999998,0.9891842886675906,33,34
1000,Dist a,"[0.2, 0.3, 0.5]",0.019861887772692113,0.9906106836679835,0.21290804658113452,0.09032190476190471,0.9478335681729135,34,35
1000,Dist a,"[0.2, 0.3, 0.5]",0.01709980196890621,0.9743112103885916,0.21360751351937196,0.0012969523809523431,0.9984088870683501,35,36
1000,Dist a,"[0.2, 0.3, 0.5]",0.028631057641229345,0.9635404331783156,0.21371120082862663,0.022085999999999995,0.9876446193447282,36,37
1000,Dist a,"[0.2, 0.3, 0.5]",0.03146197316862363,0.951763035543245,0.21427550386025584,0.035112761904761924,0.9781840246063489,37,38
1000,Dist a,"[0.2, 0.3, 0.5]",0.02038127864012736,0.9691759592195411,0.2124350538253727,0.05042225000000006,0.9670872688869627,38,39
1000,Dist a,"[0.2, 0.3, 0.5]",0.026166825330567415,0.941437280097168,0.2123277794327768,0.03082457142857148,0.975560262163174,39,40
1000,Dist a,"[0.2, 0.3, 0.5]",0.039399889169313605,0.9341005310250676,0.21336526144947565,0.05572450000000001,0.9639920352981188,40,41
1000,Dist a,"[0.2, 0.3, 0.5]",0.020237062471177014,0.9621293394772233,0.21188871436844023,0.04792514285714289,0.9716541235278173,41,42
